Point Name,Year,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,CalciumA,CalciumB,CECA,CECB,ClayA,ClayB,MagnesiumA,MagnesiumB,Olsen PA,Olsen PB,Organic CarbonA,Organic CarbonB,pHA,pHB,PotassiumA,PotassiumB,SandA,SandB,SiltA,SiltB,SodiumA,SodiumB,TextureA,TextureB,Total CarbonA,Total CarbonB,Total NitrogenA,Total NitrogenB,richA,richB
TOKA-060,2018,1.2329598885120638,0.05122193536653287,42.2,24.96397404260788,4,2.8,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-061,2015,1.1026094475432973,0.10119492997410222,45.6,50.2075691504777,3.6,2.2,35.2,1.4832396974191324,13,12,34,33,35,42.5,7.5,7.4,5.7,3.1,3.6,2.2,5.9,5.9,1,0.76,28.8,25,36.2,32.5,0.36,0.33,Clay Loam,Clay,3.6,2.2,0.27,0.22,1231,1061.3
TOKA-061,2018,1.053908033224509,0.08892725815210434,89.8,65.00538439237168,2.7,2.1,38.4,3.5777087639996634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-064,2015,0.9722830893678047,0.1528495377797885,14.8,9.731392500562292,7.9,5.1,37,1.224744871391589,18,13,48,38,35,40,5.9,4.8,28,19,7.9,5.1,5.7,5.5,2.7,1.9,30,27.5,35,32.5,0.05,0.1,Clay Loam,Clay,7.9,5.1,0.65,0.48,1346.3,1047.7
TOKA-064,2018,0.8410636102130832,0.1586424495679946,11.4,7.569676347110225,7.8,5.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-067,2015,0.9903953275310194,0.13707673130567274,10.6,6.985699678629192,3.2,2.3,38.8,1.0954451150103321,23,24,50,58,48.8,51.2,14,15,9.3,3.6,3.2,2.3,5.9,5.7,0.82,0.64,20,17.5,31.2,31.2,0.27,0.6,Clay,Clay,3.2,2.3,0.33,0.24,1529.9,1011.8
TOKA-067,2018,0.8380232930757806,0.08660817408837468,29.6,17.826945896591486,3.5,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-068,2015,1.2769272563474934,0.019447602690012514,184.6,130.46378807929807,2.7,2.2,37.8,0.44721359549995793,13,14,33,36,35,38.8,8.5,9.1,11,5,2.7,2.2,5.5,5.5,0.64,0.44,30,23.8,35,37.5,0.41,0.41,Clay Loam,Clay Loam,2.7,2.2,0.28,0.26,1364.3,1297.2
TOKA-068,2018,1.1568318693264656,0.06771914804984139,266.2,245.41230612990864,3.1,2.1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-071,2015,NaN,NA,9.2,5.06951674225463,10,3.8,38.8,1.0954451150103321,23,17,65,60,NA,40,11,12,22,11,10,3.8,5.8,5.6,2,1.2,NA,22.5,NA,37.5,0.23,0.28,NA,Clay Loam,10,3.8,0.61,0.3,NA,NA
