date,datatype,station,value,fl_a,fl_M,fl_Q,fl_S
2015-02-01T00:00:00Z,PRCP,GHCND:USC00043714,29.5,NA,NA,NA,NA
2015-02-01T00:00:00Z,TAVG,GHCND:USC00043714,13.31,NA,NA,NA,NA
2015-02-01T00:00:00Z,TMAX,GHCND:USC00043714,18.25,NA,NA,NA,NA
2015-02-01T00:00:00Z,TMIN,GHCND:USC00043714,8.38,NA,NA,NA,NA
2015-03-01T00:00:00Z,PRCP,GHCND:USC00043714,4.7,NA,NA,NA,NA
2015-03-01T00:00:00Z,TAVG,GHCND:USC00043714,12.59,NA,NA,NA,NA
2015-03-01T00:00:00Z,TMAX,GHCND:USC00043714,17.88,NA,NA,NA,NA
2015-03-01T00:00:00Z,TMIN,GHCND:USC00043714,7.3,NA,NA,NA,NA
2015-04-01T00:00:00Z,PRCP,GHCND:USC00043714,19.1,NA,NA,NA,NA
2015-04-01T00:00:00Z,TAVG,GHCND:USC00043714,11.76,NA,NA,NA,NA
2015-04-01T00:00:00Z,TMAX,GHCND:USC00043714,16.73,NA,NA,NA,NA
2015-04-01T00:00:00Z,TMIN,GHCND:USC00043714,6.78,NA,NA,NA,NA
2015-05-01T00:00:00Z,PRCP,GHCND:USC00043714,2.9,NA,NA,NA,NA
2015-05-01T00:00:00Z,TAVG,GHCND:USC00043714,13.7,NA,NA,NA,NA
2015-05-01T00:00:00Z,TMAX,GHCND:USC00043714,16.95,NA,NA,NA,NA
2015-05-01T00:00:00Z,TMIN,GHCND:USC00043714,10.46,NA,NA,NA,NA
2015-06-01T00:00:00Z,PRCP,GHCND:USC00043714,2.1,NA,NA,NA,NA
2015-06-01T00:00:00Z,TAVG,GHCND:USC00043714,15.11,NA,NA,NA,NA
2015-06-01T00:00:00Z,TMAX,GHCND:USC00043714,18.54,NA,NA,NA,NA
2015-06-01T00:00:00Z,TMIN,GHCND:USC00043714,11.68,NA,NA,NA,NA
2015-07-01T00:00:00Z,PRCP,GHCND:USC00043714,1.5,NA,NA,NA,NA
2015-07-01T00:00:00Z,TAVG,GHCND:USC00043714,17.55,NA,NA,NA,NA
2015-07-01T00:00:00Z,TMAX,GHCND:USC00043714,21.39,NA,NA,NA,NA
2015-07-01T00:00:00Z,TMIN,GHCND:USC00043714,13.7,NA,NA,NA,NA
2015-08-01T00:00:00Z,PRCP,GHCND:USC00043714,2.1,NA,NA,NA,NA
2015-08-01T00:00:00Z,TAVG,GHCND:USC00043714,18.25,NA,NA,NA,NA
2015-08-01T00:00:00Z,TMAX,GHCND:USC00043714,22.04,NA,NA,NA,NA
2015-08-01T00:00:00Z,TMIN,GHCND:USC00043714,14.47,NA,NA,NA,NA
2015-09-01T00:00:00Z,PRCP,GHCND:USC00043714,2.9,NA,NA,NA,NA
2015-09-01T00:00:00Z,TAVG,GHCND:USC00043714,15.51,NA,NA,NA,NA
2015-09-01T00:00:00Z,TMAX,GHCND:USC00043714,20.53,NA,NA,NA,NA
2015-09-01T00:00:00Z,TMIN,GHCND:USC00043714,10.48,NA,NA,NA,NA
2015-10-01T00:00:00Z,PRCP,GHCND:USC00043714,4.1,NA,NA,NA,NA
2015-10-01T00:00:00Z,TAVG,GHCND:USC00043714,15.27,NA,NA,NA,NA
2015-10-01T00:00:00Z,TMAX,GHCND:USC00043714,19.74,NA,NA,NA,NA
2015-10-01T00:00:00Z,TMIN,GHCND:USC00043714,10.81,NA,NA,NA,NA
2015-11-01T00:00:00Z,PRCP,GHCND:USC00043714,43.2,NA,NA,NA,NA
2015-11-01T00:00:00Z,TAVG,GHCND:USC00043714,10.78,NA,NA,NA,NA
2015-11-01T00:00:00Z,TMAX,GHCND:USC00043714,16.43,NA,NA,NA,NA
2015-11-01T00:00:00Z,TMIN,GHCND:USC00043714,5.13,NA,NA,NA,NA
2015-12-01T00:00:00Z,PRCP,GHCND:USC00043714,131.3,NA,NA,NA,NA
2015-12-01T00:00:00Z,TAVG,GHCND:USC00043714,9.8,NA,NA,NA,NA
2015-12-01T00:00:00Z,TMAX,GHCND:USC00043714,14.08,NA,NA,NA,NA
2015-12-01T00:00:00Z,TMIN,GHCND:USC00043714,5.52,NA,NA,NA,NA
2016-01-01T00:00:00Z,PRCP,GHCND:USC00043714,152.8,NA,NA,NA,NA
2016-01-01T00:00:00Z,TAVG,GHCND:USC00043714,11.77,NA,NA,NA,NA
2016-01-01T00:00:00Z,TMAX,GHCND:USC00043714,15.15,NA,NA,NA,NA
2016-01-01T00:00:00Z,TMIN,GHCND:USC00043714,8.38,NA,NA,NA,NA
2016-02-01T00:00:00Z,PRCP,GHCND:USC00043714,31.7,NA,NA,NA,NA
2016-02-01T00:00:00Z,TAVG,GHCND:USC00043714,12.65,NA,NA,NA,NA
2016-02-01T00:00:00Z,TMAX,GHCND:USC00043714,18.47,NA,NA,NA,NA
2016-02-01T00:00:00Z,TMIN,GHCND:USC00043714,6.84,NA,NA,NA,NA
2016-03-01T00:00:00Z,PRCP,GHCND:USC00043714,183.9,NA,NA,NA,NA
2016-03-01T00:00:00Z,TAVG,GHCND:USC00043714,12.47,NA,NA,NA,NA
2016-03-01T00:00:00Z,TMAX,GHCND:USC00043714,16.65,NA,NA,NA,NA
2016-03-01T00:00:00Z,TMIN,GHCND:USC00043714,8.28,NA,NA,NA,NA
2016-04-01T00:00:00Z,PRCP,GHCND:USC00043714,24.2,NA,NA,NA,NA
2016-04-01T00:00:00Z,TAVG,GHCND:USC00043714,13.35,NA,NA,NA,NA
2016-04-01T00:00:00Z,TMAX,GHCND:USC00043714,17.79,NA,NA,NA,NA
2016-04-01T00:00:00Z,TMIN,GHCND:USC00043714,8.91,NA,NA,NA,NA
2016-05-01T00:00:00Z,PRCP,GHCND:USC00043714,4,NA,NA,NA,NA
2016-05-01T00:00:00Z,TAVG,GHCND:USC00043714,14.02,NA,NA,NA,NA
2016-05-01T00:00:00Z,TMAX,GHCND:USC00043714,17.51,NA,NA,NA,NA
2016-05-01T00:00:00Z,TMIN,GHCND:USC00043714,10.53,NA,NA,NA,NA
2016-06-01T00:00:00Z,PRCP,GHCND:USC00043714,2,NA,NA,NA,NA
2016-06-01T00:00:00Z,TAVG,GHCND:USC00043714,14.21,NA,NA,NA,NA
2016-06-01T00:00:00Z,TMAX,GHCND:USC00043714,18.2,NA,NA,NA,NA
2016-06-01T00:00:00Z,TMIN,GHCND:USC00043714,10.21,NA,NA,NA,NA
2016-07-01T00:00:00Z,PRCP,GHCND:USC00043714,6.7,NA,NA,NA,NA
2016-07-01T00:00:00Z,TAVG,GHCND:USC00043714,14.08,NA,NA,NA,NA
2016-07-01T00:00:00Z,TMAX,GHCND:USC00043714,17.4,NA,NA,NA,NA
2016-07-01T00:00:00Z,TMIN,GHCND:USC00043714,10.77,NA,NA,NA,NA
2016-08-01T00:00:00Z,PRCP,GHCND:USC00043714,3.6,NA,NA,NA,NA
2016-08-01T00:00:00Z,TAVG,GHCND:USC00043714,15.33,NA,NA,NA,NA
2016-08-01T00:00:00Z,TMAX,GHCND:USC00043714,17.85,NA,NA,NA,NA
2016-08-01T00:00:00Z,TMIN,GHCND:USC00043714,12.82,NA,NA,NA,NA
2016-09-01T07:00:00Z,PRCP,GHCND:USC00043714,0,2,TRUE,NA,7
2016-09-01T07:00:00Z,TAVG,GHCND:USC00043714,14.64,2,NA,NA,7
2016-09-01T07:00:00Z,TMAX,GHCND:USC00043714,19.03,2,NA,NA,7
2016-09-01T07:00:00Z,TMIN,GHCND:USC00043714,10.26,2,NA,NA,7
2016-10-01T07:00:00Z,PRCP,GHCND:USC00043714,124.4,NA,NA,NA,7
2016-10-01T07:00:00Z,TAVG,GHCND:USC00043714,14.45,NA,NA,NA,7
2016-10-01T07:00:00Z,TMAX,GHCND:USC00043714,19.27,NA,NA,NA,7
2016-10-01T07:00:00Z,TMIN,GHCND:USC00043714,9.64,NA,NA,NA,7
2016-11-01T07:00:00Z,PRCP,GHCND:USC00043714,53.8,1,NA,NA,7
2016-11-01T07:00:00Z,TAVG,GHCND:USC00043714,12.88,1,NA,NA,7
2016-11-01T07:00:00Z,TMAX,GHCND:USC00043714,17.56,1,NA,NA,7
2016-11-01T07:00:00Z,TMIN,GHCND:USC00043714,8.2,1,NA,NA,7
