Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-071,2018,0.733412227793711,0.16704637522852195,0.5127530472339508,0.25528773097075347,8.1,3.4,40,0,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA
TOKA-072,2015,NA,NA,0.8033333333333333,0.752348175898485,4.9,2.3,36.6,1.9493588689617927,4.2,5.6,33,9.8,6.8,1.7,0.14,0.4,2.3,5.4,24,5,5.8,1,0.17,0.24,NA,NA
TOKA-072,2018,1.0450909440112484,0.13787142340589448,0.7082190784954426,0.8510350022662985,4.4,2.8,38.4,3.5777087639996634,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
TOKA-080,2015,1.0275971569894307,0.07551944790358874,0.48,0.4492895626554339,3.3,1.8,33.4,2.3021728866442674,8.7,5.7,39,13,10,0.9,0.3,0.3,5,5.2,42,13,11,0.65,0.45,0.2,1328.1,1238
TOKA-080,2018,1.0122295830307952,0.18458257879824275,3.699545188719565,3.393401804198724,3.2,2.2,40,0,5.1,5.8,29.3,9.52,8.6,0.572,0.23,0.35,3.6,5.7,35.7,11.93,11.7,0.536,0.37,0.26,NA,NA
TOKA-089,2015,0.7845361695612794,0.14891400942453936,0.62,0.19486462537418694,8.6,5.9,37.8,1.6431676725154984,41,6,59,23,8.5,1.6,0.05,0.55,21,6.1,62,21,8.7,0.85,0.21,0.41,1663.6,1143.6
TOKA-089,2018,NA,NA,1.3579015281574018,0.9195365561881617,7.8,5.3,40,0,34.3,5.2,36,18.74,7,1.377,0.1,0.38,19.5,5.1,38.3,19.77,8.9,0.828,0.26,0.23,NA,NA
TOKA-090,2018,1.0142211443013587,0.07117291820397048,1.4748818851068506,1.161228041243573,4.5,2.4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-091,2015,NA,NA,1.28,1.5485387377208948,3.3,2.5,37.4,2.4083189157584592,13,6,41,18,8.7,1,0.05,0.27,4.4,5.9,39,16,8.5,0.59,0.27,0.25,NA,NA
TOKA-091,2018,0.9039497794597915,0.16211525286517056,0.7303313587160661,0.37497246966612163,3.7,2,37,6.708203932499369,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA
TOKA-099,2015,1.264531580519902,0.17006314060343353,1.9033333333333333,2.850765004540204,3,2,37,1.4142135623730951,9.4,5.6,35,13,8,1,0.12,0.29,3.7,5.5,34,14,8.8,0.72,0.22,0.21,NA,1139.3
TOKA-099,2018,1.0399531872238428,0.12911085955120088,2.067882030521881,1.3786653619285854,2.7,1.7,38,4.47213595499958,11.4,6.1,25.1,9.5,6.6,0.877,0.12,0.29,6.8,6.1,25,9.82,6.7,0.723,0.14,0.21,NA,NA
TOKA-099,2021,0.893347165754678,0.20290575672065023,1.2594617841003852,1.2373359476482133,2.9,2.1,40,0,12.9,6.1,23.5,10.295,6,0.751,0.17,0.2874,7.4,5.8,25.7,12.185,6.2,0.528,0.18,0.2531,NA,NA
