field,Start.Date,End.Date,Herd,n,days,season,Pasture
41,2023-11-14T01:28:00Z,2023-11-16T01:30:00Z,Non-Breeding Cattle,28.809105,2.00138888888889,Dormant,41
41,2023-11-12T19:36:00Z,2023-11-16T01:30:00Z,Cows,45.122332,3.24583333333333,Dormant,41
43,2023-12-02T18:00:00Z,2023-12-03T20:01:00Z,Cows,45.50251,1.08402777777778,Dormant,43
43,2023-12-02T18:00:00Z,2023-12-03T20:01:00Z,Non-Breeding Cattle,29.060393,1.08402777777778,Dormant,43
43,2023-12-02T18:00:00Z,2023-12-03T20:01:00Z,k,6.3084077,1.08402777777778,Dormant,43
43,2023-12-05T20:02:00Z,2023-12-09T20:03:00Z,k,6.351331500000001,4.00069444444444,Dormant,43
43,2023-12-05T20:02:00Z,2023-12-09T20:03:00Z,Non-Breeding Cattle,29.144419999999997,4.00069444444444,Dormant,43
43,2023-12-05T20:02:00Z,2023-12-09T20:03:00Z,Cows,45.629709999999996,4.00069444444444,Dormant,43
43,2023-12-26T21:51:00Z,2023-12-29T21:51:00Z,Does,3.1168674000000003,3,Dormant,43
43,2023-12-29T21:51:00Z,2024-01-05T21:51:00Z,Does,3.1229397,7,Dormant,43
43,2024-01-09T21:52:00Z,2024-01-20T21:53:00Z,Does,3.135952,11.0006944444444,Dormant,43
45,2023-11-27T20:25:00Z,2023-11-29T18:48:00Z,k,6.2797915,1.93263888888889,Dormant,45
45,2023-11-27T20:25:00Z,2023-11-29T18:48:00Z,Cows,45.41771,1.93263888888889,Dormant,45
45,2023-11-27T20:25:00Z,2023-11-29T18:48:00Z,Non-Breeding Cattle,29.004373,1.93263888888889,Dormant,45
46,2023-11-29T18:48:00Z,2023-12-01T05:00:00Z,Cows,45.440332000000005,1.425,Dormant,46
46,2023-11-29T18:48:00Z,2023-12-01T05:00:00Z,k,6.2869453,1.425,Dormant,46
46,2023-11-29T18:48:00Z,2023-12-01T05:00:00Z,Non-Breeding Cattle,29.019178,1.425,Dormant,46
47,2024-01-05T21:08:00Z,2024-01-24T21:57:00Z,Kids,3,19.0340277777778,Dormant,47
47,2024-01-05T21:08:00Z,2024-01-24T21:57:00Z,Wethers,5.137692,19.0340277777778,Dormant,47
48,2023-12-01T05:00:00Z,2023-12-02T18:00:00Z,k,6.301253399999999,1.54166666666667,Dormant,48
48,2023-12-01T05:00:00Z,2023-12-02T18:00:00Z,Non-Breeding Cattle,29.046387,1.54166666666667,Dormant,48
48,2023-12-01T05:00:00Z,2023-12-02T18:00:00Z,Cows,45.481311999999996,1.54166666666667,Dormant,48
49,2023-08-15T21:09:00Z,2023-09-05T21:12:00Z,Wethers,5.6317534,21.0020833333333,Dormant,49
49,2023-12-09T20:03:00Z,2023-12-10T20:06:00Z,k,6.358485399999999,1.00208333333333,Dormant,49
49,2023-12-09T20:03:00Z,2023-12-10T20:06:00Z,Cows,45.65091,1.00208333333333,Dormant,49
49,2023-12-09T20:03:00Z,2023-12-10T20:06:00Z,Non-Breeding Cattle,29.158426,1.00208333333333,Dormant,49
4B,2023-08-09T22:19:00Z,2023-08-10T22:23:00Z,Cows,46.517074,1.00277777777778,Dormant,4
4B,2023-08-09T22:19:00Z,2023-08-10T22:23:00Z,k,15.499629,1.00277777777778,Dormant,4
4B,2023-08-18T04:30:00Z,2023-08-18T20:20:00Z,k,15.620689,0.659722222222222,Dormant,4
4B,2023-08-18T04:30:00Z,2023-08-18T20:20:00Z,Cows,46.706156,0.659722222222222,Dormant,4
4B,2024-01-16T04:34:00Z,2024-01-18T00:35:00Z,Non-Breeding Cattle,29.691408,1.83402777777778,Dormant,4
4B,2024-01-16T04:34:00Z,2024-01-18T00:35:00Z,k,6.630337000000001,1.83402777777778,Dormant,4
4B,2024-01-16T04:34:00Z,2024-01-18T00:35:00Z,Cows,46.457926,1.83402777777778,Dormant,4
5,2023-07-18T21:57:00Z,2023-07-24T04:03:00Z,k,15.227242,5.25416666666667,Dormant,5
